scenario,year,age,vmt,vmt_bucket
default,7,1.0,19392.195084551713,high
default,7,2.0,19081.126782736235,high
default,7,3.0,18767.79932403531,high
default,7,4.0,18452.21270844908,high
default,7,5.0,18134.366935977563,high
default,7,6.0,17814.2620066209,high
default,7,7.0,17491.897920378782,high
default,7,8.0,17167.27467725137,high
default,7,9.0,16840.39227723866,high
default,7,10.0,16511.250720340675,high
default,7,11.0,16179.850006557523,high
default,7,12.0,15846.190135888926,high
default,7,13.0,15510.271108335037,high
default,7,14.0,15172.092923895878,high
default,7,15.0,14831.655582571431,high
default,7,16.0,14488.959084361672,high
default,7,17.0,14144.003429266619,high
default,7,18.0,13796.788617286267,high
default,7,19.0,13447.314648420632,high
default,7,20.0,13095.581522669687,high
default,7,21.0,12741.589240033443,high
default,7,22.0,12385.3378005119,high
default,7,23.0,12026.827204105064,high
default,7,24.0,11666.057450812947,high
default,7,25.0,11303.028540635516,high
default,7,26.0,10937.740473572789,high
default,7,27.0,10570.193249624761,high
default,7,28.0,10200.38686879144,high
default,7,29.0,9828.321331072837,high
default,7,30.0,9453.996636468923,high
default,7,31.0,9077.412784979708,high
default,7,32.0,8698.569776605196,high
default,7,33.0,8317.467611345392,high
default,7,34.0,7934.106289200303,high
default,7,35.0,7548.485810169902,high
default,7,36.0,7160.606174254203,high
default,7,37.0,6770.467381453208,high
default,7,38.0,6378.069431766933,high
default,7,39.0,5983.412325195344,high
default,7,40.0,5586.496061738459,high
default,7,41.0,5187.320641396274,high
default,7,42.0,4785.886064168795,high
default,7,43.0,4382.192330056035,high
default,7,44.0,3976.23943905796,high
default,7,45.0,3568.0273911745894,high
default,7,46.0,3157.5561864059214,high
default,7,47.0,2744.825824751956,high
default,7,48.0,2329.836306212712,high
default,7,49.0,1912.5876307881526,high
default,7,50.0,1493.0797984782964,high
default,8,0.0,6221.444983096554,low
default,8,1.0,6045.8704938124865,low
default,8,2.0,5872.555161413766,low
default,8,3.0,5701.498985900288,low
default,8,4.0,5532.70196727212,low
default,8,5.0,5366.1641055292375,low
default,8,6.0,5201.885400671703,low
default,8,7.0,5039.865852699418,low
default,8,8.0,4880.105461612428,low
default,8,9.0,4722.60422741074,low
default,8,10.0,4567.362150094327,low
default,8,11.0,4414.379229663276,low
default,8,12.0,4263.655466117474,low
default,8,13.0,4115.190859456983,low
default,8,14.0,3968.985409681784,low
default,8,15.0,3825.0391167918906,low
default,8,16.0,3683.351980787287,low
default,8,17.0,3543.9240016679814,low
default,8,18.0,3406.755179433975,low
default,8,19.0,3271.845514085269,low
default,8,20.0,3139.1950056218543,low
default,8,21.0,3008.8036540437365,low
default,8,22.0,2880.671459350921,low
default,8,23.0,2754.7984215433953,low
default,8,24.0,2631.184540621174,low
default,8,25.0,2509.829816584245,low
default,8,26.0,2390.7342494326117,low
default,8,27.0,2273.8978391662777,low
default,8,28.0,2159.320585785241,low
default,8,29.0,2047.0024892895028,low
default,8,30.0,1936.9435496790582,low
default,8,31.0,1829.1437669539118,low
default,8,32.0,1723.6031411140625,low
default,8,33.0,1620.3216721595093,low
default,8,34.0,1519.299360090257,low
default,8,35.0,1420.5362049062978,low
default,8,36.0,1324.0322066076362,low
default,8,37.0,1229.7873651942718,low
default,8,38.0,1137.8016806662067,low
default,8,39.0,1048.0751530234354,low
default,8,40.0,960.607782265962,low
default,8,41.0,875.3995683937853,low
default,8,42.0,792.4505114069052,low
default,8,43.0,711.7606113053254,low
default,8,44.0,633.3298680890391,low
default,8,45.0,557.1582817580505,low
default,8,46.0,483.24585231235886,low
default,8,47.0,411.59257975196374,low
default,8,48.0,342.1984640768683,low
default,8,49.0,275.06350528706747,low
default,8,50.0,210.18770338256365,low
default,8,0.0,19701.004229482045,high
default,8,1.0,19392.195084551713,high
default,8,2.0,19081.126782736235,high
default,8,3.0,18767.79932403531,high
default,8,4.0,18452.21270844908,high
default,8,5.0,18134.366935977563,high
default,8,6.0,17814.2620066209,high
default,8,7.0,17491.897920378782,high
default,8,8.0,17167.27467725137,high
default,8,9.0,16840.39227723866,high
default,8,10.0,16511.250720340675,high
default,8,11.0,16179.850006557523,high
default,8,12.0,15846.190135888926,high
default,8,13.0,15510.271108335037,high
default,8,14.0,15172.092923895878,high
default,8,15.0,14831.655582571431,high
default,8,16.0,14488.959084361672,high
default,8,17.0,14144.003429266619,high
default,8,18.0,13796.788617286267,high
default,8,19.0,13447.314648420632,high
default,8,20.0,13095.581522669687,high
default,8,21.0,12741.589240033443,high
default,8,22.0,12385.3378005119,high
default,8,23.0,12026.827204105064,high
default,8,24.0,11666.057450812947,high
default,8,25.0,11303.028540635516,high
default,8,26.0,10937.740473572789,high
default,8,27.0,10570.193249624761,high
default,8,28.0,10200.38686879144,high
default,8,29.0,9828.321331072837,high
default,8,30.0,9453.996636468923,high
default,8,31.0,9077.412784979708,high
default,8,32.0,8698.569776605196,high
default,8,33.0,8317.467611345392,high
default,8,34.0,7934.106289200303,high
default,8,35.0,7548.485810169902,high
default,8,36.0,7160.606174254203,high
default,8,37.0,6770.467381453208,high
default,8,38.0,6378.069431766933,high
default,8,39.0,5983.412325195344,high
default,8,40.0,5586.496061738459,high
default,8,41.0,5187.320641396274,high
default,8,42.0,4785.886064168795,high
default,8,43.0,4382.192330056035,high
default,8,44.0,3976.23943905796,high
default,8,45.0,3568.0273911745894,high
default,8,46.0,3157.5561864059214,high
default,8,47.0,2744.825824751956,high
default,8,48.0,2329.836306212712,high
default,8,49.0,1912.5876307881526,high
default,8,50.0,1493.0797984782964,high
default,9,0.0,6221.444983096554,low
default,9,1.0,6045.8704938124865,low
default,9,2.0,5872.555161413766,low
default,9,3.0,5701.498985900288,low
default,9,4.0,5532.70196727212,low
default,9,5.0,5366.1641055292375,low
default,9,6.0,5201.885400671703,low
default,9,7.0,5039.865852699418,low
default,9,8.0,4880.105461612428,low
default,9,9.0,4722.60422741074,low
default,9,10.0,4567.362150094327,low
default,9,11.0,4414.379229663276,low
default,9,12.0,4263.655466117474,low
default,9,13.0,4115.190859456983,low
default,9,14.0,3968.985409681784,low
default,9,15.0,3825.0391167918906,low
default,9,16.0,3683.351980787287,low
default,9,17.0,3543.9240016679814,low
default,9,18.0,3406.755179433975,low
default,9,19.0,3271.845514085269,low
default,9,20.0,3139.1950056218543,low
default,9,21.0,3008.8036540437365,low
default,9,22.0,2880.671459350921,low
default,9,23.0,2754.7984215433953,low
default,9,24.0,2631.184540621174,low
default,9,25.0,2509.829816584245,low
default,9,26.0,2390.7342494326117,low
default,9,27.0,2273.8978391662777,low
default,9,28.0,2159.320585785241,low
default,9,29.0,2047.0024892895028,low
default,9,30.0,1936.9435496790582,low
default,9,31.0,1829.1437669539118,low
default,9,32.0,1723.6031411140625,low
default,9,33.0,1620.3216721595093,low
default,9,34.0,1519.299360090257,low
default,9,35.0,1420.5362049062978,low
default,9,36.0,1324.0322066076362,low
default,9,37.0,1229.7873651942718,low
default,9,38.0,1137.8016806662067,low
default,9,39.0,1048.0751530234354,low
default,9,40.0,960.607782265962,low
default,9,41.0,875.3995683937853,low
default,9,42.0,792.4505114069052,low
default,9,43.0,711.7606113053254,low
default,9,44.0,633.3298680890391,low
default,9,45.0,557.1582817580505,low
default,9,46.0,483.24585231235886,low
default,9,47.0,411.59257975196374,low
default,9,48.0,342.1984640768683,low
default,9,49.0,275.06350528706747,low
default,9,50.0,210.18770338256365,low
default,9,0.0,19701.004229482045,high
default,9,1.0,19392.195084551713,high
default,9,2.0,19081.126782736235,high
default,9,3.0,18767.79932403531,high
default,9,4.0,18452.21270844908,high
default,9,5.0,18134.366935977563,high
default,9,6.0,17814.2620066209,high
default,9,7.0,17491.897920378782,high
default,9,8.0,17167.27467725137,high
default,9,9.0,16840.39227723866,high
default,9,10.0,16511.250720340675,high
default,9,11.0,16179.850006557523,high
default,9,12.0,15846.190135888926,high
default,9,13.0,15510.271108335037,high
default,9,14.0,15172.092923895878,high
default,9,15.0,14831.655582571431,high
default,9,16.0,14488.959084361672,high
default,9,17.0,14144.003429266619,high
default,9,18.0,13796.788617286267,high
default,9,19.0,13447.314648420632,high
default,9,20.0,13095.581522669687,high
default,9,21.0,12741.589240033443,high
default,9,22.0,12385.3378005119,high
default,9,23.0,12026.827204105064,high
default,9,24.0,11666.057450812947,high
default,9,25.0,11303.028540635516,high
default,9,26.0,10937.740473572789,high
default,9,27.0,10570.193249624761,high
default,9,28.0,10200.38686879144,high
default,9,29.0,9828.321331072837,high
default,9,30.0,9453.996636468923,high
default,9,31.0,9077.412784979708,high
default,9,32.0,8698.569776605196,high
default,9,33.0,8317.467611345392,high
default,9,34.0,7934.106289200303,high
default,9,35.0,7548.485810169902,high
default,9,36.0,7160.606174254203,high
default,9,37.0,6770.467381453208,high
default,9,38.0,6378.069431766933,high
default,9,39.0,5983.412325195344,high
default,9,40.0,5586.496061738459,high
default,9,41.0,5187.320641396274,high
default,9,42.0,4785.886064168795,high
default,9,43.0,4382.192330056035,high
default,9,44.0,3976.23943905796,high
default,9,45.0,3568.0273911745894,high
default,9,46.0,3157.5561864059214,high
default,9,47.0,2744.825824751956,high
default,9,48.0,2329.836306212712,high
default,9,49.0,1912.5876307881526,high
default,9,50.0,1493.0797984782964,high
eco_driving=default;charging=default;use_vmt=default;used_market_target_perc=default;production_ghg_cost_ice=default;production_ghg_cost_body=default;production_ghg_cost_kwh=default;veh_mpg=default;veh_mpge=default;new_powertrain_prop=default;electricity_ghg_kwh=default;gas_ghg_gallon=default,0,0.0,6221.444983096554,low
eco_driving=default;charging=default;use_vmt=default;used_market_target_perc=default;production_ghg_cost_ice=default;production_ghg_cost_body=default;production_ghg_cost_kwh=default;veh_mpg=default;veh_mpge=default;new_powertrain_prop=default;electricity_ghg_kwh=default;gas_ghg_gallon=default,0,1.0,6045.8704938124865,low
eco_driving=default;charging=default;use_vmt=default;used_market_target_perc=default;production_ghg_cost_ice=default;production_ghg_cost_body=default;production_ghg_cost_kwh=default;veh_mpg=default;veh_mpge=default;new_powertrain_prop=default;electricity_ghg_kwh=default;gas_ghg_gallon=default,0,2.0,5872.555161413766,low
eco_driving=default;charging=default;use_vmt=default;used_market_target_perc=default;production_ghg_cost_ice=default;production_ghg_cost_body=default;production_ghg_cost_kwh=default;veh_mpg=default;veh_mpge=default;new_powertrain_prop=default;electricity_ghg_kwh=default;gas_ghg_gallon=default,0,3.0,5701.498985900288,low
eco_driving=default;charging=default;use_vmt=default;used_market_target_perc=default;production_ghg_cost_ice=default;production_ghg_cost_body=default;production_ghg_cost_kwh=default;veh_mpg=default;veh_mpge=default;new_powertrain_prop=default;electricity_ghg_kwh=default;gas_ghg_gallon=default,0,4.0,5532.70196727212,low
eco_driving=default;charging=default;use_vmt=default;used_market_target_perc=default;production_ghg_cost_ice=default;production_ghg_cost_body=default;production_ghg_cost_kwh=default;veh_mpg=default;veh_mpge=default;new_powertrain_prop=default;electricity_ghg_kwh=default;gas_ghg_gallon=default,0,5.0,5366.1641055292375,low
eco_driving=default;charging=default;use_vmt=default;used_market_target_perc=default;production_ghg_cost_ice=default;production_ghg_cost_body=default;production_ghg_cost_kwh=default;veh_mpg=default;veh_mpge=default;new_powertrain_prop=default;electricity_ghg_kwh=default;gas_ghg_gallon=default,0,6.0,5201.885400671703,low
eco_driving=default;charging=default;use_vmt=default;used_market_target_perc=default;production_ghg_cost_ice=default;production_ghg_cost_body=default;production_ghg_cost_kwh=default;veh_mpg=default;veh_mpge=default;new_powertrain_prop=default;electricity_ghg_kwh=default;gas_ghg_gallon=default,0,7.0,5039.865852699418,low
eco_driving=default;charging=default;use_vmt=default;used_market_target_perc=default;production_ghg_cost_ice=default;production_ghg_cost_body=default;production_ghg_cost_kwh=default;veh_mpg=default;veh_mpge=default;new_powertrain_prop=default;electricity_ghg_kwh=default;gas_ghg_gallon=default,0,8.0,4880.105461612428,low
eco_driving=default;charging=default;use_vmt=default;used_market_target_perc=default;production_ghg_cost_ice=default;production_ghg_cost_body=default;production_ghg_cost_kwh=default;veh_mpg=default;veh_mpge=default;new_powertrain_prop=default;electricity_ghg_kwh=default;gas_ghg_gallon=default,0,9.0,4722.60422741074,low
eco_driving=default;charging=default;use_vmt=default;used_market_target_perc=default;production_ghg_cost_ice=default;production_ghg_cost_body=default;production_ghg_cost_kwh=default;veh_mpg=default;veh_mpge=default;new_powertrain_prop=default;electricity_ghg_kwh=default;gas_ghg_gallon=default,0,10.0,4567.362150094327,low
eco_driving=default;charging=default;use_vmt=default;used_market_target_perc=default;production_ghg_cost_ice=default;production_ghg_cost_body=default;production_ghg_cost_kwh=default;veh_mpg=default;veh_mpge=default;new_powertrain_prop=default;electricity_ghg_kwh=default;gas_ghg_gallon=default,0,11.0,4414.379229663276,low
eco_driving=default;charging=default;use_vmt=default;used_market_target_perc=default;production_ghg_cost_ice=default;production_ghg_cost_body=default;production_ghg_cost_kwh=default;veh_mpg=default;veh_mpge=default;new_powertrain_prop=default;electricity_ghg_kwh=default;gas_ghg_gallon=default,0,12.0,4263.655466117474,low
eco_driving=default;charging=default;use_vmt=default;used_market_target_perc=default;production_ghg_cost_ice=default;production_ghg_cost_body=default;production_ghg_cost_kwh=default;veh_mpg=default;veh_mpge=default;new_powertrain_prop=default;electricity_ghg_kwh=default;gas_ghg_gallon=default,0,13.0,4115.190859456983,low
eco_driving=default;charging=default;use_vmt=default;used_market_target_perc=default;production_ghg_cost_ice=default;production_ghg_cost_body=default;production_ghg_cost_kwh=default;veh_mpg=default;veh_mpge=default;new_powertrain_prop=default;electricity_ghg_kwh=default;gas_ghg_gallon=default,0,14.0,3968.985409681784,low
eco_driving=default;charging=default;use_vmt=default;used_market_target_perc=default;production_ghg_cost_ice=default;production_ghg_cost_body=default;production_ghg_cost_kwh=default;veh_mpg=default;veh_mpge=default;new_powertrain_prop=default;electricity_ghg_kwh=default;gas_ghg_gallon=default,0,15.0,3825.0391167918906,low
eco_driving=default;charging=default;use_vmt=default;used_market_target_perc=default;production_ghg_cost_ice=default;production_ghg_cost_body=default;production_ghg_cost_kwh=default;veh_mpg=default;veh_mpge=default;new_powertrain_prop=default;electricity_ghg_kwh=default;gas_ghg_gallon=default,0,16.0,3683.351980787287,low
eco_driving=default;charging=default;use_vmt=default;used_market_target_perc=default;production_ghg_cost_ice=default;production_ghg_cost_body=default;production_ghg_cost_kwh=default;veh_mpg=default;veh_mpge=default;new_powertrain_prop=default;electricity_ghg_kwh=default;gas_ghg_gallon=default,0,17.0,3543.9240016679814,low
eco_driving=default;charging=default;use_vmt=default;used_market_target_perc=default;production_ghg_cost_ice=default;production_ghg_cost_body=default;production_ghg_cost_kwh=default;veh_mpg=default;veh_mpge=default;new_powertrain_prop=default;electricity_ghg_kwh=default;gas_ghg_gallon=default,0,18.0,3406.755179433975,low
eco_driving=default;charging=default;use_vmt=default;used_market_target_perc=default;production_ghg_cost_ice=default;production_ghg_cost_body=default;production_ghg_cost_kwh=default;veh_mpg=default;veh_mpge=default;new_powertrain_prop=default;electricity_ghg_kwh=default;gas_ghg_gallon=default,0,19.0,3271.845514085269,low
eco_driving=default;charging=default;use_vmt=default;used_market_target_perc=default;production_ghg_cost_ice=default;production_ghg_cost_body=default;production_ghg_cost_kwh=default;veh_mpg=default;veh_mpge=default;new_powertrain_prop=default;electricity_ghg_kwh=default;gas_ghg_gallon=default,0,20.0,3139.1950056218543,low
